term,parent,translation,language,tags,added,status,link_status,pronunciation
dogs,,,English,,2026-01-29 18:32:32,99,,
done,,,English,,2026-01-29 18:12:13,99,,
donut,,甜甜圈,English,,2026-01-29 18:14:13,1,,
down,,,English,,2026-01-29 18:32:22,99,,
dragging,,,English,,2026-01-29 18:32:32,99,,
drop,,,English,,2026-01-29 18:32:32,99,,
edit,,,English,,2026-01-29 18:32:22,99,,
editing,,,English,,2026-01-29 18:14:51,99,,
eg,,,English,,2026-01-29 18:32:30,99,,
either,,,English,,2026-01-29 18:12:13,99,,
elephant,,大象,English,,2026-01-29 13:54:12,99,,
elephants,,,English,,2026-01-29 18:32:30,99,,
end,,,English,,2026-01-29 18:32:30,99,,
enter,,,English,,2026-01-29 18:12:13,99,,
establish,,,English,,2026-01-29 18:32:22,99,,
even,,,English,,2026-01-29 18:12:13,99,,
every,,,English,,2026-01-29 18:12:13,99,,
example,,,English,,2026-01-29 18:12:13,99,,
existent,,,English,,2026-01-29 18:32:32,99,,
existing,,,English,,2026-01-29 18:32:32,99,,
extra,,,English,,2026-01-29 18:32:30,99,,
feel,,,English,,2026-01-29 18:12:13,99,,
few,,,English,,2026-01-29 18:12:13,99,,
field,,,English,,2026-01-29 18:32:30,99,,
finish,,,English,,2026-01-29 18:12:13,99,,
first,,,English,,2026-01-29 18:32:30,99,,
focus,,,English,,2026-01-29 18:32:22,99,,
folder,,,English,,2026-01-29 18:32:30,99,,
follow,,,English,,2026-01-29 18:12:13,99,,
following,,,English,,2026-01-29 18:32:22,99,,
form,,,English,,2026-01-29 18:32:22,99,,
forms,,,English,,2026-01-29 18:32:32,99,,
forward,,,English,,2026-01-29 18:32:25,99,,
forwards,,,English,,2026-01-29 18:32:30,99,,
frame,,,English,,2026-01-29 18:32:30,99,,
from,,,English,,2026-01-29 18:32:30,99,,
full,,,English,,2026-01-29 18:32:25,99,,
get,,,English,,2026-01-29 18:32:22,99,,
go,,,English,,2026-01-29 18:32:25,99,,
going,,,English,,2026-01-29 18:32:30,99,,
green,,,English,,2026-01-29 18:12:13,99,,
guide,,,English,,2026-01-29 18:32:30,99,,
had,,,English,,2026-01-29 18:32:32,99,,
hamburger​ ​menu,,三条横线的菜单,English,,2026-01-29 18:10:50,1,,
hand,,,English,,2026-01-29 18:32:30,99,,
happens,,,English,,2026-01-29 18:12:13,99,,
happy,,,English,,2026-01-29 18:32:30,99,,
has,,,English,,2026-01-29 18:32:22,99,,
have,,,English,,2026-01-29 18:12:13,99,,
he,,,English,,2026-01-29 18:32:32,99,,
header,,,English,,2026-01-29 18:12:13,99,,
helps,,,English,,2026-01-29 18:32:32,99,,
highlighting,,,English,,2026-01-29 18:32:25,99,,
hitting,,,English,,2026-01-29 18:32:22,99,,
hold,,,English,,2026-01-29 18:32:25,99,,
holding,,,English,,2026-01-29 18:32:25,99,,
homepage,,,English,,2026-01-29 18:32:30,99,,
hotkeys,,,English,,2026-01-29 18:32:22,99,,
hover,,1.翱翔 2.徘徊,English,,2026-01-29 13:55:24,1,,
hovered,,,English,,2026-01-29 18:32:25,99,,
icon,,,English,,2026-01-29 18:32:30,99,,
image,,,English,,2026-01-29 18:32:30,99,,
images,,,English,,2026-01-29 18:32:30,99,,
import,,,English,,2026-01-29 18:32:25,99,,
in,,,English,,2026-01-29 18:12:13,99,,
included,,,English,,2026-01-29 18:32:30,99,,
including,,,English,,2026-01-29 18:12:13,99,,
info,,,English,,2026-01-29 18:32:25,99,,
information,,,English,,2026-01-29 18:32:30,99,,
into,,,English,,2026-01-29 18:32:30,99,,
introduces,,,English,,2026-01-29 18:12:13,99,,
is,,,English,,2026-01-29 18:12:13,99,,
it,,,English,,2026-01-29 18:12:13,99,,
items,,,English,,2026-01-29 18:12:13,99,,
jump,,,English,,2026-01-29 18:32:22,99,,
just,,,English,,2026-01-29 18:32:22,99,,
keeps,,,English,,2026-01-29 18:32:22,99,,
key,,,English,,2026-01-29 18:12:13,99,,
keyboard,,,English,,2026-01-29 18:12:13,99,,
keys,,,English,,2026-01-29 18:32:22,99,,
know,,,English,,2026-01-29 18:12:13,99,,
last,,,English,,2026-01-29 18:12:13,99,,
later,,,English,,2026-01-29 18:32:32,99,,
leave,,,English,,2026-01-29 18:32:32,99,,
left,,,English,,2026-01-29 18:12:13,99,,
left​ ​over,,"留下, 放在那里",English,,2026-01-29 18:06:01,1,,
like,,,English,,2026-01-29 18:32:30,99,,
likely,,,English,,2026-01-29 18:12:13,99,,
limited,,,English,,2026-01-29 18:32:32,99,,
link,,,English,,2026-01-29 18:12:13,99,,
links,,,English,,2026-01-29 18:12:13,99,,
list,,,English,,2026-01-29 18:32:30,99,,
listing,,,English,,2026-01-29 18:32:32,99,,
ll,,,English,,2026-01-29 18:32:22,99,,
loaded,,,English,,2026-01-29 18:32:30,99,,
logo,,,English,,2026-01-29 18:12:13,99,,
make,,,English,,2026-01-29 18:32:30,99,,
many,,,English,,2026-01-29 18:32:30,99,,
mark,,,English,,2026-01-29 18:12:13,99,,
menu,,,English,,2026-01-29 18:12:13,99,,
mode,,,English,,2026-01-29 18:32:22,99,,
more,,,English,,2026-01-29 18:12:13,99,,
mouse,,,English,,2026-01-29 18:32:22,99,,
move,,,English,,2026-01-29 18:12:13,99,,
moves,,,English,,2026-01-29 18:12:13,99,,
must,,,English,,2026-01-29 18:32:22,99,,
navigate,,,English,,2026-01-29 18:32:30,99,,
necessary,,,English,,2026-01-29 18:12:13,99,,
new,,,English,,2026-01-29 18:32:25,99,,
next,,,English,,2026-01-29 18:12:13,99,,
no,,,English,,2026-01-29 18:32:32,99,,
non,,,English,,2026-01-29 18:32:32,99,,
noted,,,English,,2026-01-29 18:32:22,99,,
noun,,,English,,2026-01-29 18:32:30,99,,
now,,,English,,2026-01-29 18:12:13,99,,
of,,,English,,2026-01-29 18:12:13,99,,
on,,,English,,2026-01-29 18:12:13,99,,
one,,,English,,2026-01-29 18:12:13,99,,
ones,,,English,,2026-01-29 18:32:30,99,,
only,,,English,,2026-01-29 18:32:22,99,,
open,,,English,,2026-01-29 18:32:30,99,,
opens,,,English,,2026-01-29 18:12:13,99,,
or,,,English,,2026-01-29 18:12:13,99,,
other,,,English,,2026-01-29 18:32:22,99,,
over,,,English,,2026-01-29 18:32:22,99,,
own,,,English,,2026-01-29 18:32:30,99,,
page,,,English,,2026-01-29 18:12:13,99,,
pages,,,English,,2026-01-29 18:32:30,99,,
pane,,,English,,2026-01-29 18:32:22,99,,
paragraph,,,English,,2026-01-29 18:32:22,99,,
parents,,,English,,2026-01-29 18:12:13,99,,
paste,,,English,,2026-01-29 18:32:30,99,,
phrase,,,English,,2026-01-29 18:32:32,99,,
picture,,,English,,2026-01-29 18:32:30,99,,
placeholder,,占位符,English,,2026-01-29 14:09:34,1,,
pops,,,English,,2026-01-29 18:32:30,99,,
popup,,,English,,2026-01-29 18:32:30,99,,
previous,,,English,,2026-01-29 18:32:25,99,,
puppies,puppy,young dog,English,,2026-01-29 14:18:17,1,y,
